,Year,Link
322,1997/98,https://www.espncricinfo.com/ci/engine/series/index.html?season=1997%2F98;view=season
323,1998,https://www.espncricinfo.com/ci/engine/series/index.html?season=1998;view=season
324,1998/99,https://www.espncricinfo.com/ci/engine/series/index.html?season=1998%2F99;view=season
325,1999,https://www.espncricinfo.com/ci/engine/series/index.html?season=1999;view=season
326,1999/00,https://www.espncricinfo.com/ci/engine/series/index.html?season=1999%2F00;view=season
327,2000,https://www.espncricinfo.com/ci/engine/series/index.html?season=2000;view=season
328,2000/01,https://www.espncricinfo.com/ci/engine/series/index.html?season=2000%2F01;view=season
329,2001,https://www.espncricinfo.com/ci/engine/series/index.html?season=2001;view=season
330,2001/02,https://www.espncricinfo.com/ci/engine/series/index.html?season=2001%2F02;view=season
331,2002,https://www.espncricinfo.com/ci/engine/series/index.html?season=2002;view=season
332,2002/03,https://www.espncricinfo.com/ci/engine/series/index.html?season=2002%2F03;view=season
333,2003,https://www.espncricinfo.com/ci/engine/series/index.html?season=2003;view=season
334,2003/04,https://www.espncricinfo.com/ci/engine/series/index.html?season=2003%2F04;view=season
335,2004,https://www.espncricinfo.com/ci/engine/series/index.html?season=2004;view=season
336,2004/05,https://www.espncricinfo.com/ci/engine/series/index.html?season=2004%2F05;view=season
